Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.7277724,-0.7913549,1.553083,0.10305917,0.00029827177,0.29884785,0.0049712537,294.48,-36.138200460523365,-36.138200460523365,1.0
20000,1.4088085,-0.7472328,0.31936064,0.10007535,0.00029557312,0.29704875,0.0049263663,380.77777777777777,-16.472500737204594,-16.472500737204594,1.0
30000,1.0047594,-0.12797818,0.059441738,0.09589081,0.0002925618,0.2950412,0.0048762774,392.32,-2.1026201286911963,-2.1026201286911963,1.0
40000,0.8899176,-0.0567945,0.0040175687,0.097444326,0.0002895336,0.29302242,0.0048259087,399.0,-1.1299348776431188,-1.1299348776431188,1.0
50000,0.76887774,-0.052833218,0.0037830113,0.1004106,0.00028649572,0.29099712,0.004775378,399.0,-1.1593200697004795,-1.1593200697004795,1.0
60000,0.4460995,-0.050870493,0.00016780541,0.096461535,0.0002834536,0.28896907,0.0047247782,399.0,-0.9994815525909265,-0.9994815525909265,1.0
70000,0.2888851,-0.051737368,8.3930936e-05,0.09831181,0.00028057522,0.28705013,0.0046769003,399.0,-0.999309595142092,-0.999309595142092,1.0
80000,0.2920917,-0.049810313,4.2180054e-05,0.09939959,0.0002775341,0.28502274,0.0046263165,399.0,-0.9995000710976976,-0.9995000710976976,1.0
90000,0.27933615,-0.05430989,0.01698819,0.08789145,0.0002745149,0.28300992,0.0045760977,384.25925925925924,-1.321142915503255,-1.321142915503255,1.0
100000,0.22013623,-0.05809407,0.06644225,0.096673004,0.0002714744,0.2809829,0.004525523,369.2307692307692,-1.6942308824509382,-1.6942308824509382,1.0
110000,0.10958864,-0.09327531,0.0007272618,0.10206658,0.0002684271,0.27895138,0.004474837,399.0,-0.9995209045397738,-0.9995209045397738,1.0
120000,0.04504521,-0.049396154,6.689074e-05,0.102617495,0.00026554815,0.2770321,0.0044269506,399.0,-0.9994400714337826,-0.9994400714337826,1.0
130000,0.03641494,-0.051194735,2.3337992e-05,0.096696876,0.0002625075,0.27500498,0.0043763733,399.0,-0.9995209045397738,-0.9995209045397738,1.0
140000,0.032234155,-0.05119841,2.1492433e-05,0.10175264,0.00025946816,0.27297878,0.0043258197,399.0,-0.9994167381276687,-0.9994167381276687,1.0
150000,0.08159093,-0.050420158,1.2799355e-05,0.0918597,0.0002565871,0.27105805,0.0042778985,399.0,-0.9994815527289002,-0.9994815527289002,1.0
160000,0.09444216,-0.049457807,2.207058e-05,0.09507407,0.00025354777,0.26903182,0.004227344,399.0,-0.999482214184744,-0.999482214184744,1.0
170000,0.05609206,-0.04977633,7.769814e-06,0.10381656,0.00025050764,0.2670051,0.0041767764,399.0,-0.999477344141765,-0.999477344141765,1.0
180000,0.07401875,-0.049805705,8.336636e-06,0.0940789,0.00024746713,0.2649781,0.004126203,399.0,-0.999461609726915,-0.999461609726915,1.0
