Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.7303666,306.2608695652174,-3.333803,-683.9895692804586,-683.9895692804586,542.6428,0.10051586,0.00029841284,0.29894188,0.0049735997,1.0
20000,1.6424006,370.80645161290323,-6.153611,-137.697096282436,-137.697096282436,19.284374,0.10359159,0.00029560862,0.29707244,0.004926957,1.0
30000,1.2818264,304.8888888888889,-4.3183966,-53.15301729242007,-53.15301729242007,19.844553,0.09668598,0.0002925627,0.2950418,0.0048762923,1.0
40000,0.94669616,347.65625,-2.0223782,-18.29911022260785,-18.29911022260785,11.756634,0.10165851,0.0002895162,0.29301083,0.0048256195,1.0
50000,0.7943364,375.90909090909093,-0.76669186,-18.510096002192725,-18.510096002192725,10.928133,0.09799654,0.0002864863,0.29099086,0.0047752215,1.0
60000,0.72440404,389.6333333333333,-0.5152809,-9.742467538515728,-9.742467538515728,12.390606,0.10085018,0.0002834494,0.2889663,0.004724708,1.0
70000,0.7449539,366.5,-0.3245061,0.019924649485835322,0.019924649485835322,11.055012,0.09293133,0.00028057164,0.28704774,0.0046768407,1.0
80000,0.7114116,368.51851851851853,-0.52280176,-49.77842770682441,-49.77842770682441,73.92458,0.09896305,0.0002775247,0.28501648,0.00462616,1.0
90000,0.68941057,356.14285714285717,-0.3322296,-15.352696301681656,-15.352696301681656,27.673464,0.0969415,0.00027451027,0.28300682,0.0045760204,1.0
100000,0.5609189,374.11538461538464,-0.3209597,-4.659923575245417,-4.659923575245417,10.954545,0.09533618,0.00027149817,0.28099877,0.004525919,1.0
110000,0.54266,383.7307692307692,-0.0169983,1.230405588944753,1.230405588944753,11.005001,0.09554474,0.00026846133,0.27897424,0.0044754064,1.0
120000,0.5421397,386.92,-0.18975669,-4.988940836191177,-4.988940836191177,11.353648,0.095908016,0.00026543214,0.2769548,0.004425022,1.0
130000,0.5468493,399.0,-0.102974005,0.34685246149698895,0.34685246149698895,9.663073,0.09905841,0.00026242036,0.2749469,0.0043749246,1.0
140000,0.57866365,399.0,-0.049646232,2.9124414255985847,2.9124414255985847,10.073233,0.10297851,0.0002595537,0.27303576,0.0043272427,1.0
150000,0.59516776,381.68,-0.08895733,5.7802388167381284,5.7802388167381284,10.058339,0.093533516,0.0002565283,0.2710189,0.0042769196,1.0
160000,0.6187963,386.64285714285717,-0.09463654,3.2568747965352878,3.2568747965352878,9.931629,0.092922516,0.00025350795,0.2690053,0.0042266813,1.0
