Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.0213076,245.65829145728642,-1.2356538,-3.478136182682922,-3.478136182682922,0.6624643,0.09733546,0.0002969664,0.2979776,0.004949541,1.0
200000,0.6984559,209.8181818181818,0.15145642,0.16631487353787391,0.16631487353787391,1.1532109,0.09737581,0.00029100635,0.29400426,0.004850405,1.0
300000,0.57190394,209.0503144654088,0.33462605,-0.011306945156438795,-0.011306945156438795,1.2493111,0.094261706,0.00028501818,0.29001206,0.0047508017,1.0
400000,0.5017448,193.21235521235522,0.9198521,1.4434551773018605,1.4434551773018605,1.3915259,0.09647675,0.00027902023,0.28601348,0.004651035,1.0
500000,0.3503865,179.9836956521739,1.00481,1.5791061091493221,1.5791061091493221,1.5034568,0.09580044,0.00027300496,0.2820033,0.0045509823,1.0
600000,0.3287071,186.72128060263654,0.9390032,1.3611318978498568,1.3611318978498568,1.3813119,0.09798286,0.0002669901,0.27799338,0.0044509345,1.0
700000,0.25214592,175.79577464788733,1.5981573,2.4677092632661806,2.4677092632661806,1.5016341,0.09680624,0.00026100947,0.2740063,0.0043514576,1.0
800000,0.1853009,168.44312393887947,1.8575506,2.9068249379725835,2.9068249379725835,1.4669914,0.09491404,0.0002550182,0.27001217,0.004251803,1.0
900000,0.1176727,175.87455830388691,0.739532,1.1866311307539077,1.1866311307539077,1.5929412,0.09478588,0.00024902116,0.2660141,0.0041520507,1.0
1000000,0.10290176,163.42809917355373,1.1274183,1.697961239549062,1.697961239549062,1.851601,0.100206405,0.00024299843,0.26199892,0.004051873,1.0
1100000,0.09030708,169.62627986348122,0.8532366,1.6096420478348634,1.6096420478348634,1.6500133,0.09593483,0.00023700364,0.2580024,0.00395216,1.0
1200000,0.08235712,161.7716150081566,1.1414812,1.9351711198322925,1.9351711198322925,1.8251036,0.09400065,0.00023101088,0.2540072,0.0038524799,1.0
1300000,0.11200002,179.91741472172353,1.2244344,1.7405862935502718,1.7405862935502718,1.5221689,0.09633474,0.00022500969,0.25000644,0.0037526605,1.0
1400000,0.08615769,180.59597806215723,0.5449386,0.7170504107185974,0.7170504107185974,1.5350524,0.096290514,0.00021899852,0.24599896,0.0036526744,1.0
1500000,0.10160425,167.63926174496643,1.1485761,2.064455512039338,2.064455512039338,1.6609987,0.09770888,0.00021298676,0.24199115,0.0035526794,1.0
1600000,0.110910274,169.03577512776832,1.4622447,2.315608211181084,2.315608211181084,1.5493282,0.09669315,0.0002069881,0.23799206,0.0034529013,1.0
1700000,0.13137537,179.0,1.5325149,2.3717355800188473,2.3717355800188473,1.3235168,0.09812054,0.00020099929,0.23399949,0.0033532875,1.0
1800000,0.1099463,173.62717770034843,1.4339949,2.2133912445282893,2.2133912445282893,1.5322038,0.0965215,0.00019498513,0.22999002,0.003253251,1.0
1900000,0.08181368,173.1064572425829,1.3999505,2.2775492083819953,2.2775492083819953,1.5738804,0.096184425,0.00018898744,0.22599164,0.0031534908,1.0
2000000,0.08735959,168.01683501683502,1.4435295,2.280650793941635,2.280650793941635,1.6360335,0.09555067,0.0001830078,0.22200519,0.0030540286,1.0
2100000,0.096251756,170.06324786324785,1.4574947,2.6955211921284596,2.6955211921284596,1.4641216,0.09606144,0.00017703137,0.21802087,0.002954621,1.0
2200000,0.0948278,155.89240506329114,1.8556583,2.991634868044123,2.991634868044123,1.6706853,0.09772722,0.00017100634,0.21400422,0.0028544047,1.0
2300000,0.097485565,167.54745762711863,1.4600945,2.2529496546967076,2.2529496546967076,1.5714339,0.096958,0.00016500305,0.210002,0.0027545497,1.0
2400000,0.11249657,159.5231259968102,1.6942925,2.6922486125650495,2.6922486125650495,1.6862187,0.09671535,0.00015900184,0.20600124,0.0026547296,1.0
2500000,0.092281364,161.78688524590163,1.6798503,2.6267319428635405,2.6267319428635405,1.6252122,0.096224114,0.00015300958,0.20200634,0.002555058,1.0
2600000,0.09069125,149.63976083707024,2.2602854,3.463263529783754,3.463263529783754,1.8124026,0.095770255,0.00014699939,0.19799957,0.002455089,1.0
