Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.3994914,118.229746070133,-0.69779885,-5.4263849137339655,-5.4263849137339655,7.380507,0.09751809,0.00029696806,0.2979787,0.0049495683,1.0
200000,0.9449395,119.00960384153662,-0.80053985,-5.382625455043468,-5.382625455043468,7.2198505,0.097336315,0.00029100667,0.2940045,0.0048504113,1.0
300000,0.9350197,130.95256916996047,-1.3418303,-6.21915717354248,-6.21915717354248,6.7263227,0.0962023,0.00028500013,0.29000014,0.004750502,1.0
400000,1.0532984,121.8931203931204,-1.0236034,-5.8829579217468995,-5.8829579217468995,7.2699695,0.09425183,0.0002789722,0.28598148,0.004650238,1.0
500000,1.3038019,122.38432835820896,-1.1500704,-6.532461992681843,-6.532461992681843,7.409393,0.09542501,0.00027298366,0.28198913,0.0045506274,1.0
600000,1.1224074,125.34625,-1.1912247,-6.121723241425037,-6.121723241425037,6.9150066,0.09547899,0.00026697817,0.27798545,0.004450736,1.0
700000,0.97427005,120.31946144430844,-0.7530476,-5.696164053056869,-5.696164053056869,7.307369,0.09570278,0.00026098802,0.273992,0.0043511,1.0
800000,0.9660693,125.06926952141058,-1.1924925,-6.313685044141456,-6.313685044141456,7.166368,0.09563889,0.0002549768,0.26998454,0.004251114,1.0
900000,1.0638422,125.139798488665,-0.7850498,-5.788419697569601,-5.788419697569601,6.917373,0.09591506,0.00024898638,0.26599094,0.0041514738,1.0
1000000,1.1328875,127.52692307692308,-1.270531,-6.337581607011648,-6.337581607011648,6.9272227,0.09638512,0.00024297602,0.261984,0.0040515,1.0
1100000,0.9479077,117.91179976162098,-0.8266081,-5.947501395683607,-5.947501395683607,7.87207,0.09525714,0.00023697554,0.25798365,0.003951692,1.0
1200000,1.0776793,125.08964646464646,-1.2673364,-6.028129883101128,-6.028129883101128,6.856818,0.094721325,0.00023098405,0.25398937,0.0038520338,1.0
1300000,0.9356352,124.99747793190416,-0.8688317,-5.690029821209468,-5.690029821209468,7.0675173,0.095617965,0.00022501286,0.25000852,0.0037527129,1.0
1400000,1.1339595,127.85365853658537,-0.8713699,-5.233710318535987,-5.233710318535987,6.6923985,0.09687548,0.00021900257,0.24600169,0.0036527412,1.0
1500000,1.200495,119.34495192307692,-1.2288105,-6.35622635942239,-6.35622635942239,7.5638156,0.09802739,0.00021300915,0.24200606,0.0035530506,1.0
1600000,1.2414858,124.09457755359395,-1.0440853,-6.025548972668593,-6.025548972668593,6.993286,0.09655639,0.00020701876,0.23801243,0.003453411,1.0
1700000,1.2039589,123.57797029702971,-0.91717476,-5.70689010324679,-5.70689010324679,7.2975035,0.09477191,0.00020101237,0.23400825,0.0033535052,1.0
