Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1300000,0.85816616,332.1363636363636,-0.63435376,-3.628181491385807,-3.628181491385807,0.9681677,0.10458482,0.00022224897,0.24816597,0.0037067404,1.0
1400000,0.83290815,334.0239726027397,-1.2381837,-2.581075195274124,-2.581075195274124,0.73044086,0.09655282,0.000218982,0.24598797,0.0036523992,1.0
1500000,0.88885504,357.6007194244604,-1.2836645,-3.7464818608739394,-3.7464818608739394,0.3854345,0.09912867,0.0002129767,0.24198446,0.0035525116,1.0
1600000,0.8449144,307.0792682926829,-1.0266249,-1.5321833732956593,-1.5321833732956593,0.78139657,0.0995715,0.00020699203,0.23799469,0.0034529672,1.0
1700000,0.93535906,257.63917525773195,-0.6892559,-0.2551078474709338,-0.2551078474709338,1.2613974,0.09641311,0.0002010059,0.2340039,0.0033533971,1.0
1800000,0.9518305,256.9767441860465,-0.50767714,0.9920867063605662,0.9920867063605662,0.9719562,0.09887235,0.00019502372,0.23001577,0.0032538937,1.0
1900000,0.8446431,233.80093676814988,-0.13453324,1.9528193715609994,1.9528193715609994,0.98993003,0.09664948,0.00018902896,0.22601925,0.0031541807,1.0
2000000,0.79033977,229.58215962441315,-0.23406687,1.3193373574288583,1.3193373574288583,1.0453427,0.09639372,0.0001830135,0.22200893,0.003054123,1.0
2100000,0.7241122,228.63926940639269,-0.18796079,1.6367062782202604,1.6367062782202604,0.97149885,0.09843215,0.00017699949,0.21799962,0.0029540902,1.0
2200000,0.7855852,220.8814317673378,0.034190476,2.0217652356281244,2.0217652356281244,1.0024366,0.09860661,0.00017101757,0.21401168,0.0028545915,1.0
2300000,0.7693057,233.6953488372093,-0.1437154,1.7838443342423023,1.7838443342423023,1.0424937,0.09773644,0.00016503087,0.21002056,0.0027550126,1.0
2400000,0.73105115,216.6652078774617,-0.0029204814,2.55378958130288,2.55378958130288,0.92531586,0.09482684,0.00015900606,0.20600402,0.0026547997,1.0
2500000,0.72978663,200.10714285714286,0.54491645,2.623246630863978,2.623246630863978,1.2737316,0.097082786,0.00015300045,0.20200023,0.0025549065,1.0
2600000,0.713608,189.55725190839695,0.844639,3.73324150663182,3.73324150663182,1.183805,0.097572,0.00014701039,0.1980069,0.0024552715,1.0
2700000,0.70010597,203.53430353430355,0.510726,3.0143299701998467,3.0143299701998467,1.0338011,0.09659217,0.00014098811,0.19399205,0.0023551008,1.0
2800000,0.655004,204.16801619433198,0.36111063,3.0228169045301705,3.0228169045301705,0.95978856,0.09801345,0.00013497482,0.18998316,0.0022550803,1.0
