Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,1.674739,-3.5373073,0.8292905,0.06740308,0.00029693276,0.19897759,0.004948981,362.7088122605364,-16.503001923305323,-16.503001923305323,1.0
200000,1.5980436,-3.7758594,0.89509284,0.06905297,0.00029092602,0.19697532,0.004849069,347.9866666666667,-14.529046714901924,-14.529046714901924,1.0
300000,1.3375161,-3.6191335,1.0731432,0.06970172,0.0002848957,0.19496523,0.004748765,315.5506329113924,-12.961568416867937,-12.961568416867937,1.0
400000,0.9005258,-3.494821,0.80004996,0.06890441,0.0002789829,0.1929943,0.004650415,338.14864864864865,-13.649433828738271,-13.649433828738271,1.0
500000,0.9447648,-2.9883537,0.73080647,0.066783115,0.00027298843,0.19099614,0.004550707,325.54485049833886,-12.443751798158413,-12.443751798158413,1.0
600000,0.9783447,-3.081124,0.67435527,0.070005834,0.00026705122,0.18901706,0.0044519515,342.82456140350877,-13.220793258725552,-13.220793258725552,1.0
700000,0.85650426,-2.5924401,0.8365417,0.068313986,0.00026098738,0.1869958,0.0043510897,298.88823529411764,-9.519196386358379,-9.519196386358379,1.0
800000,0.8617697,-1.1562872,0.8872422,0.06950293,0.000254979,0.184993,0.00425115,266.9652406417112,-5.883560194174449,-5.883560194174449,1.0
900000,0.678406,0.6312046,0.8277263,0.070270285,0.00024894427,0.18298143,0.0041507725,206.59420289855072,-0.9365209195129109,-0.9365209195129109,1.0
1000000,0.52398264,2.492872,0.81741464,0.06858469,0.00024303673,0.18101224,0.0040525096,172.89948006932408,2.0827749295733793,2.0827749295733793,1.0
1100000,0.47824296,3.6188316,0.70685476,0.067541435,0.00023700128,0.1790004,0.0039521204,143.67485549132948,4.030929043113841,4.030929043113841,1.0
1200000,0.4846909,4.7057614,0.66330504,0.06956072,0.00023103354,0.17701116,0.003852857,124.81852315394242,5.562199487069969,5.562199487069969,1.0
1300000,0.52411187,5.8980384,0.6588921,0.06889405,0.00022498051,0.17499349,0.0037521746,104.37052631578948,6.950037266894391,6.950037266894391,1.0
1400000,0.45155072,6.1575317,0.6616138,0.067841575,0.00021899074,0.1729969,0.0036525452,96.61681329423264,7.191384920751979,7.191384920751979,1.0
1500000,0.47014666,6.4354362,0.49490955,0.06910042,0.00021310942,0.17103647,0.003554719,90.3156450137237,7.620556758971087,7.620556758971087,1.0
1600000,0.44311136,6.7485905,0.37590837,0.06726379,0.0002070138,0.16900459,0.0034533285,84.63341858482524,7.801466754403244,7.801466754403244,1.0
1700000,0.41435865,6.873848,0.28194752,0.071019545,0.00020103648,0.16701216,0.0033539059,82.06816292601829,7.981228707832425,7.981228707832425,1.0
1800000,0.4286275,6.8984394,0.5115713,0.06791664,0.00019500042,0.16500013,0.0032535067,81.52102225886233,7.92069116984137,7.92069116984137,1.0
1900000,0.43587548,6.8301563,0.35169882,0.06821183,0.00018902392,0.16300796,0.0031540967,81.63990066225166,7.931403063681741,7.931403063681741,1.0
2000000,0.43693557,6.9000707,0.4216101,0.06971054,0.00018299204,0.16099733,0.0030537664,82.57560568086883,7.900043765006707,7.900043765006707,1.0
2100000,0.4405635,6.997698,0.92091334,0.06893858,0.00017705269,0.15901755,0.002954975,78.60095389507154,7.884916841983795,7.884916841983795,1.0
2200000,0.37822473,7.1375823,0.48791414,0.07165216,0.0001709854,0.15699512,0.0028540562,76.35065942591156,8.169530152812484,8.169530152812484,1.0
2300000,0.37802985,7.2246075,0.2849668,0.06809036,0.00016506694,0.1550223,0.0027556126,73.71748878923766,8.358428443754148,8.358428443754148,1.0
2400000,0.32998076,7.316854,0.64286745,0.070175245,0.00015901841,0.1530061,0.002655005,72.57914201183432,8.27671443038184,8.27671443038184,1.0
2500000,0.32010132,7.32979,0.31566674,0.06766278,0.00015302422,0.15100804,0.0025553016,72.46204379562043,8.375257762307934,8.375257762307934,1.0
2600000,0.3106945,7.327548,0.2198994,0.068293385,0.00014712858,0.14904284,0.0024572376,71.14193083573487,8.451118895366369,8.451118895366369,1.0
2700000,0.3115059,7.3582673,0.31074017,0.06838337,0.0001409703,0.14699008,0.0023548051,70.66450683945284,8.44388667220353,8.44388667220353,1.0
2800000,0.30756325,7.418849,0.32934532,0.06769945,0.0001350703,0.14502342,0.0022566682,70.06652512384997,8.440855074009038,8.440855074009038,1.0
2900000,0.31549853,7.4459414,0.22469953,0.06825249,0.0001289867,0.14299555,0.0021554776,69.16070175438597,8.53643745004085,8.53643745004085,1.0
