Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.7645116,-3.1467214,357.9239543726236,-17.286298307402507,-17.286298307402507,0.99771285,0.06864922,0.00029694298,0.19898099,0.0049491515,1.0
200000,1.7445871,-4.0322824,381.7210144927536,-17.116554641593112,-17.116554641593112,0.5715108,0.070673846,0.00029096697,0.19698897,0.00484975,1.0
300000,1.6148193,-3.4375825,355.85,-13.971276732941046,-13.971276732941046,0.7872533,0.07032839,0.000284968,0.19498932,0.0047499673,1.0
400000,1.4998857,-3.348394,363.19844357976655,-15.117774445027228,-15.117774445027228,0.5698374,0.06958297,0.00027893027,0.19297676,0.0046495404,1.0
500000,1.4589255,-3.4326336,345.0942760942761,-13.794705545159703,-13.794705545159703,0.6844484,0.06894748,0.00027295243,0.19098413,0.004550108,1.0
600000,1.4080635,-3.3392365,335.7654723127036,-13.065109674252716,-13.065109674252716,0.66949177,0.06870466,0.00026695343,0.18898448,0.0044503245,1.0
700000,1.380842,-2.7627656,303.1314102564103,-10.056674338377322,-10.056674338377322,0.92340887,0.07025099,0.0002609852,0.18699507,0.004351054,1.0
800000,1.1323203,-2.5567183,306.4985163204748,-10.39321540565802,-10.39321540565802,1.0788907,0.07433721,0.0002549426,0.18498084,0.0042505446,1.0
900000,1.0271019,-2.5157561,298.91964285714283,-9.949069017705632,-9.949069017705632,0.9911181,0.07001964,0.00024904768,0.18301588,0.004152492,1.0
1000000,0.7892115,-1.2645556,258.36578947368423,-6.030691983036482,-6.030691983036482,1.2112062,0.07054385,0.00024303269,0.18101087,0.004052443,1.0
1100000,0.6407928,-0.04712926,229.127562642369,-2.474619897731616,-2.474619897731616,1.1574183,0.06662377,0.00023709262,0.17903087,0.0039536394,1.0
1200000,0.59876347,1.678751,182.09007352941177,1.619906981859137,1.619906981859137,1.1937369,0.067577295,0.00023103425,0.1770114,0.003852869,1.0
1300000,0.5465695,2.5139081,173.48116438356163,2.15479618771789,2.15479618771789,1.163837,0.069666676,0.00022501114,0.17500369,0.0037526842,1.0
1400000,0.58178204,3.2541685,156.56962025316454,3.3742616674407424,3.3742616674407424,1.2996492,0.06852482,0.00021897482,0.1729916,0.003652281,1.0
1500000,0.5475467,3.790557,144.96486090775988,4.152057683616222,4.152057683616222,1.013836,0.06955495,0.00021296668,0.17098887,0.003552345,1.0
1600000,0.528989,4.263992,139.99153737658673,4.888982210918671,4.888982210918671,0.88139343,0.068933904,0.0002069844,0.16899478,0.0034528396,1.0
1700000,0.50521004,4.55266,131.3452380952381,5.107470171612194,5.107470171612194,0.9213302,0.06923425,0.00020109485,0.16703162,0.0033548765,1.0
1800000,0.53078,4.97427,121.61444308445533,5.707040323382792,5.707040323382792,0.79981,0.06890946,0.0001949119,0.16497062,0.003252034,1.0
1900000,0.5595126,5.379902,116.71242603550296,6.225386395240225,6.225386395240225,0.64028037,0.06804038,0.00018898328,0.16299441,0.0031534212,1.0
