Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
27500000,0.7888849,37.0,8.7603655,11.289999961853027,11.289999961853027,1.0
27600000,0.74583113,348.584229390681,-0.1332207,-1.6301087104985792,-1.6301087104985792,1.0
27700000,0.7132308,418.36322869955154,-0.74359965,-4.8457201884593815,-4.8457201884593815,1.0
27800000,0.63259286,377.2355072463768,-0.46527037,-3.395479352577873,-3.395479352577873,1.0
27900000,0.72913635,407.64658634538154,-0.64173484,-5.0768641587947645,-5.0768641587947645,1.0
28000000,0.7818325,349.14336917562724,-0.1755104,-1.944645824602672,-1.944645824602672,1.0
28100000,0.7824103,360.2054794520548,0.051336635,-2.387860309621188,-2.387860309621188,1.0
28200000,0.7174723,383.9681274900398,-0.49218136,-3.8857579622489604,-3.8857579622489604,1.0
28300000,0.79284286,346.61805555555554,-0.08575712,-1.5968171440375347,-1.5968171440375347,1.0
28400000,0.7834542,377.9280303030303,-0.06077597,-3.284207656753786,-3.284207656753786,1.0
28500000,0.76354593,339.9432624113475,-0.09660208,-1.003926731487538,-1.003926731487538,1.0
28600000,0.7481706,347.258389261745,0.076664984,-1.9351654866047754,-1.9351654866047754,1.0
28700000,0.70410025,349.9059233449477,0.12476809,-1.5047416134059222,-1.5047416134059222,1.0
28800000,0.56846535,365.8857142857143,-0.050419908,-2.495319728139374,-2.495319728139374,1.0
28900000,0.63513756,363.8181818181818,-0.4406629,-2.5253488023152584,-2.5253488023152584,1.0
29000000,0.60389364,397.512,-0.537422,-4.569380585379638,-4.569380585379638,1.0
29100000,0.5780167,384.4133858267717,-0.7440339,-4.589339565103272,-4.589339565103272,1.0
29200000,0.6077981,312.00621118012424,0.38518998,0.4937815227030967,0.4937815227030967,1.0
29300000,0.5930748,406.68936170212766,-0.3914263,-5.164012128980751,-5.164012128980751,1.0
29400000,0.53925776,439.89958158995813,-1.1286645,-6.9753382103637565,-6.9753382103637565,1.0
29500000,0.5490127,323.78136200716847,5.6191816,-1.4854574896447308,-1.4854574896447308,1.0
29600000,0.52446395,381.51785714285717,-0.70988,-4.307038551169847,-4.307038551169847,1.0
29700000,0.56531674,351.2526690391459,0.23245229,-1.3117245424089703,-1.3117245424089703,1.0
29800000,0.5644956,387.264367816092,-0.5802816,-3.9169187792416276,-3.9169187792416276,1.0
29900000,0.638309,356.18050541516243,-0.4996279,-2.358858569004045,-2.358858569004045,1.0
30000000,0.7464666,326.28052805280527,0.0309305,-0.9849862215345843,-0.9849862215345843,1.0
30100000,0.83866036,369.6826568265683,-0.3022266,-2.9499422175417966,-2.9499422175417966,1.0
30200000,0.76103663,408.9758064516129,-0.71734595,-4.794569817942477,-4.794569817942477,1.0
30300000,0.7645959,385.88492063492066,-0.4311768,-4.013515194138837,-4.013515194138837,1.0
30400000,0.7608305,422.53333333333336,-0.8968556,-5.908840702846646,-5.908840702846646,1.0
30500000,0.7114053,406.82,-0.7274955,-4.391300047447245,-4.391300047447245,1.0
30600000,0.98137087,354.7762237762238,-0.3943982,-2.6916043989725047,-2.6916043989725047,1.0
30700000,0.8569226,418.0295358649789,-0.97732574,-5.90919968712179,-5.90919968712179,1.0
30800000,0.90364647,393.17241379310343,-0.83535266,-4.339756026806959,-4.339756026806959,1.0
30900000,0.87658185,391.0458015267176,-0.7100418,-3.642530698869743,-3.642530698869743,1.0
31000000,0.73128825,398.824,-0.6974929,-5.195148653569687,-5.195148653569687,1.0
31100000,0.70638037,377.69019607843137,-0.55135846,-3.812230248715131,-3.812230248715131,1.0
31200000,0.6116179,386.2046332046332,-0.56575453,-4.239568791334233,-4.239568791334233,1.0
31300000,0.6404567,379.3396946564886,-0.41179353,-3.4221634497965567,-3.4221634497965567,1.0
31400000,0.6032547,370.69675090252707,-0.24059692,-2.680327832053284,-2.680327832053284,1.0
31500000,0.5301839,318.85714285714283,0.3548087,-0.5795426668716823,-0.5795426668716823,1.0
31600000,0.67346704,347.34797297297297,-0.05696747,-1.8926041713236152,-1.8926041713236152,1.0
31700000,0.6594516,367.0,-0.15380861,-2.5217428102196378,-2.5217428102196378,1.0
31800000,0.6604589,331.89285714285717,0.041588806,-1.5136296393142805,-1.5136296393142805,1.0
31900000,0.691774,395.53225806451616,-0.48831758,-3.9947331332030798,-3.9947331332030798,1.0
32000000,0.6438634,376.68014705882354,-0.4210094,-3.6342584687997315,-3.6342584687997315,1.0
32100000,0.5010153,413.1468253968254,-0.7323284,-5.004204420691942,-5.004204420691942,1.0
32200000,0.62147146,337.3900709219858,-0.037052087,-1.0709958933688726,-1.0709958933688726,1.0
32300000,0.68515044,326.96666666666664,0.28413972,-0.638397830153505,-0.638397830153505,1.0
32400000,0.737471,367.97818181818184,-0.26092944,-3.1767666133967314,-3.1767666133967314,1.0
