Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3100000,0.6602395,0.9831992,-2.8299042631520166,-2.8299042631520166,432.3777777777778,0.8642642,0.070401505,0.00029084962,0.29389977,0.0048477985,1.0
3200000,0.3728785,-30.240585,-11.737055586674545,-11.737055586674545,580.9426751592357,86293.07,0.073061354,0.00029054764,0.29369843,0.004842775,1.0
3300000,0.6305009,-0.97000706,-10.253459335281159,-10.253459335281159,561.2030456852792,0.66379195,0.07111792,0.00029024793,0.29349864,0.0048377896,1.0
3400000,0.63941187,0.3115257,-5.083348862567351,-5.083348862567351,483.8805970149254,0.79663604,0.079008065,0.00028995072,0.29330048,0.0048328466,1.0
3500000,0.61327565,-0.34752515,-8.479649042226992,-8.479649042226992,551.4254143646409,0.75144565,0.074024305,0.00028965037,0.29310024,0.0048278505,1.0
3600000,0.7594385,-0.6099112,-8.502862673613333,-8.502862673613333,539.2688172043011,0.6848391,0.070760526,0.00028935078,0.29290053,0.0048228675,1.0
3700000,0.6548799,-0.018611848,-3.399255490276069,-3.399255490276069,441.3574660633484,0.50146306,0.06930398,0.00028905133,0.29270092,0.004817887,1.0
3800000,0.5476945,-0.20432268,-5.772205114786355,-5.772205114786355,485.6698113207547,0.57852894,0.07218191,0.00028875357,0.2925024,0.004812934,1.0
3900000,0.5251324,-0.5622601,-8.567309881222315,-8.567309881222315,549.8603351955308,0.63185936,0.07080926,0.00028844888,0.29229927,0.0048078657,1.0
4000000,0.48683384,-0.29707128,-5.380908482252283,-5.380908482252283,506.22340425531917,0.5238841,0.07106642,0.00028814713,0.2920981,0.0048028473,1.0
4100000,0.52374715,-0.16568792,-6.534906761607094,-6.534906761607094,503.13145539906105,0.63667256,0.07090673,0.00028785318,0.29190215,0.0047979583,1.0
4200000,0.66629994,-0.37000442,-7.022811511883864,-7.022811511883864,513.3763440860215,0.58911663,0.07003109,0.00028754896,0.29169932,0.004792898,1.0
4300000,0.6365078,-0.66440606,-8.502164578828655,-8.502164578828655,533.4065934065934,0.6362452,0.071899734,0.00028724695,0.291498,0.004787875,1.0
4400000,0.5095378,-0.042910714,-4.095397902814221,-4.095397902814221,451.51141552511416,0.5310997,0.06918981,0.00028694948,0.29129964,0.0047829254,1.0
4500000,0.41450116,-0.48002875,-8.569614769396733,-8.569614769396733,535.795918367347,0.71180826,0.06887037,0.00028665,0.29110003,0.0047779446,1.0
4600000,0.38348132,-0.8153719,-9.305422101295397,-9.305422101295397,539.3202247191011,0.5771792,0.070745654,0.00028635148,0.290901,0.004772979,1.0
4700000,0.37064156,-0.5108171,-9.321168402993614,-9.321168402993614,555.120218579235,0.73650503,0.07139007,0.00028605043,0.29070032,0.0047679716,1.0
4800000,0.34456503,-0.30578482,-5.787988375820872,-5.787988375820872,476.63133640552996,0.5533777,0.06978891,0.00028574924,0.2904995,0.0047629615,1.0
4900000,0.33229664,-0.27191144,-5.273777367051588,-5.273777367051588,461.42660550458714,0.51516944,0.06950008,0.00028545322,0.29030216,0.0047580386,1.0
5000000,0.41471004,-0.27133337,-4.453698889621626,-4.453698889621626,450.5592417061611,0.545313,0.07051685,0.00028515342,0.2901023,0.004753052,1.0
5100000,0.52073926,-0.3399722,-6.586869011606489,-6.586869011606489,496.77142857142854,0.5233805,0.07041406,0.0002848515,0.28990102,0.004748029,1.0
5200000,0.52309525,-0.07258792,-5.3140644210518575,-5.3140644210518575,481.4341463414634,0.61839724,0.07783731,0.00028454658,0.2896977,0.004742957,1.0
5300000,0.5858525,-0.5822261,-8.031619810936402,-8.031619810936402,517.7948717948718,0.5951872,0.114560544,0.00028424803,0.28949872,0.004737992,1.0
5400000,0.46613473,-0.5839835,-8.650372798436255,-8.650372798436255,541.0220994475138,0.6540332,0.07012118,0.00028394736,0.28929827,0.00473299,1.0
5500000,0.4730261,-0.22588521,-5.378359325547919,-5.378359325547919,472.70142180094786,0.49756864,0.069208264,0.00028364698,0.28909802,0.0047279946,1.0
5600000,0.35433444,-0.32095152,-5.90628901541521,-5.90628901541521,492.0625,0.4588371,0.070299,0.0002833515,0.28890103,0.0047230795,1.0
5700000,0.36387533,-0.5285693,-8.175790069393209,-8.175790069393209,525.7336956521739,0.7182965,0.0696006,0.0002830494,0.28869963,0.004718055,1.0
5800000,0.39187923,-0.44070593,-6.221686703139457,-6.221686703139457,476.45410628019323,0.5927384,0.07137358,0.00028274642,0.28849766,0.004713015,1.0
5900000,0.43489084,-0.09764643,-4.344183667870455,-4.344183667870455,452.92093023255813,0.47698656,0.06860237,0.00028245052,0.28830034,0.004708093,1.0
6000000,0.43963253,-0.28126153,-6.94931272218133,-6.94931272218133,509.6237623762376,0.5672079,0.07176209,0.00028215084,0.28810057,0.004703109,1.0
6100000,0.45956177,-0.87304604,-10.878648672252893,-10.878648672252893,569.4602272727273,0.6740069,0.06949699,0.00028184982,0.2878999,0.004698102,1.0
6200000,0.46792448,-0.6964195,-7.513754011328156,-7.513754011328156,530.1435897435897,0.5401594,0.07090671,0.00028154772,0.28769845,0.004693077,1.0
6300000,0.5589248,-0.53375566,-6.901676886878308,-6.901676886878308,482.9651741293532,0.6273707,0.070320405,0.00028125147,0.287501,0.00468815,1.0
6400000,0.5490245,0.34137276,-2.181450745998285,-2.181450745998285,424.991452991453,0.5876932,0.06966718,0.00028095033,0.28730023,0.0046831407,1.0
6500000,0.42466834,0.3121134,-3.426865898900562,-3.426865898900562,449.20444444444445,0.59996873,0.07025739,0.00028064885,0.2870992,0.0046781255,1.0
6600000,0.45857543,-0.110487446,-6.596619595690529,-6.596619595690529,493.75742574257424,0.65676427,0.07296291,0.00028035106,0.28690073,0.0046731727,1.0
6700000,0.5335958,-0.2345912,-3.866584362453251,-3.866584362453251,455.2200956937799,0.5448921,0.07039527,0.0002800478,0.28669855,0.004668128,1.0
6800000,0.46473452,-0.05027153,-6.2286575997577,-6.2286575997577,507.2822966507177,0.7436219,0.07052323,0.00027974663,0.28649774,0.0046631186,1.0
6900000,0.49210575,0.070554525,-2.734270314543934,-2.734270314543934,407.4935064935065,0.5312928,0.070198014,0.0002794465,0.28629765,0.0046581263,1.0
7000000,0.46799064,0.016059032,-4.220207314550607,-4.220207314550607,456.58371040723983,0.56905854,0.071869925,0.00027914756,0.28609836,0.0046531535,1.0
7100000,0.5298422,0.00020933818,-4.426252604609701,-4.426252604609701,457.3665158371041,0.5614682,0.07147603,0.00027884962,0.28589976,0.004648198,1.0
7200000,0.42217353,-0.18139507,-5.382512827282366,-5.382512827282366,485.4685990338164,0.48426795,0.07292359,0.00027854872,0.28569916,0.004643193,1.0
7300000,0.41013515,-0.19713072,-5.077359988272769,-5.077359988272769,476.5388349514563,0.5745947,0.06954836,0.00027825078,0.28550056,0.004638238,1.0
7400000,0.49423507,0.21052277,-2.5883980241144586,-2.5883980241144586,437.4541484716157,0.5122332,0.06823656,0.00027794947,0.28529966,0.004633226,1.0
7500000,0.38972035,0.17719875,-2.5473761636496595,-2.5473761636496595,416.62025316455697,0.5217365,0.07163835,0.0002776496,0.28509974,0.004628238,1.0
7600000,0.51945454,0.13597731,-2.941632426682875,-2.941632426682875,425.5732217573222,0.4904549,0.071094394,0.0002773486,0.28489906,0.0046232315,1.0
7700000,0.47553316,-0.06495681,-5.170531669753281,-5.170531669753281,486.30150753768845,0.52651757,0.070543915,0.0002770509,0.28470057,0.0046182796,1.0
7800000,0.48443604,-0.11262186,-4.5282735737257225,-4.5282735737257225,463.6511627906977,0.53000647,0.0713325,0.0002767543,0.28450283,0.004613346,1.0
7900000,0.5627208,-0.20388015,-4.864411698356611,-4.864411698356611,470.5662100456621,0.5368998,0.06802746,0.00027645245,0.28430164,0.004608325,1.0
8000000,0.5158994,-0.1642944,-4.468621010336641,-4.468621010336641,443.27354260089686,0.6125606,0.07007179,0.00027615094,0.2841006,0.00460331,1.0
8100000,0.45762655,-0.031089071,-3.814159745300138,-3.814159745300138,444.2882882882883,0.49578357,0.070343584,0.00027585242,0.2839016,0.0045983447,1.0
8200000,0.53160256,-0.10420781,-6.153525207410841,-6.153525207410841,498.44117647058823,0.6056397,0.07084856,0.0002755486,0.2836991,0.0045932913,1.0
8300000,0.50425094,0.08581927,-3.2397126717770353,-3.2397126717770353,427.39574468085107,0.4903275,0.07013522,0.000275255,0.28350332,0.0045884075,1.0
8400000,0.443156,-0.053937923,-4.1776912825791825,-4.1776912825791825,448.0762331838565,1.0596837,0.0702996,0.00027494808,0.28329873,0.004583303,1.0
8500000,0.3700482,0.21755256,-2.19581995654006,-2.19581995654006,404.4117647058824,0.44839,0.0685796,0.00027464985,0.28309995,0.004578342,1.0
8600000,0.61360526,-0.1457894,-5.293940979301633,-5.293940979301633,492.4875621890547,0.5119114,0.07031642,0.00027435046,0.28290033,0.004573363,1.0
8700000,0.41572925,0.31256044,-2.066270837739662,-2.066270837739662,387.9074074074074,0.4736583,0.06848964,0.00027405165,0.28270113,0.0045683924,1.0
8800000,0.55607533,-0.04411816,-4.027200371746856,-4.027200371746856,450.4492753623188,0.53381705,0.07055032,0.0002737532,0.2825021,0.004563428,1.0
8900000,0.57368547,-0.30847114,-5.902802324017813,-5.902802324017813,490.68837209302325,0.5922775,0.07020951,0.00027344836,0.28229892,0.0045583583,1.0
9000000,0.48584628,-0.2708821,-4.946408287185063,-4.946408287185063,463.9952606635071,0.519177,0.06941752,0.0002731521,0.2821014,0.00455343,1.0
9100000,0.6456891,-0.111081034,-4.183697754792545,-4.183697754792545,445.1434782608696,0.556449,0.06863265,0.00027284992,0.28189993,0.004548403,1.0
9200000,0.57396376,0.03171602,-3.034926721971968,-3.034926721971968,425.0652173913044,0.49783045,0.069904074,0.0002725499,0.28169993,0.0045434125,1.0
9300000,0.37781328,-0.5377886,-6.838302013106071,-6.838302013106071,491.11538461538464,0.55618256,0.06957895,0.00027225318,0.2815021,0.004538477,1.0
9400000,0.35030296,-0.25788003,-5.070394680174914,-5.070394680174914,452.8090909090909,0.594311,0.07025465,0.000271951,0.2813007,0.0045334515,1.0
9500000,0.31000394,-0.19468793,-4.546954316275002,-4.546954316275002,446.7219730941704,0.5878087,0.0694051,0.00027164823,0.28109884,0.0045284154,1.0
9600000,0.40071252,-0.5986865,-7.100645853660593,-7.100645853660593,493.37810945273634,0.53331774,0.07017166,0.00027135212,0.28090143,0.00452349,1.0
9700000,0.4020308,-0.22053172,-6.611823230981827,-6.611823230981827,494.5075376884422,0.71515757,0.07083011,0.00027105486,0.28070325,0.004518545,1.0
9800000,0.3732514,-0.8185931,-11.814750917074157,-11.814750917074157,596.4666666666667,0.80995744,0.071013674,0.00027074866,0.2804991,0.004513452,1.0
9900000,0.5870001,-0.8579455,-9.25815360310177,-9.25815360310177,544.1047120418848,0.68652135,0.07149539,0.00027045232,0.28030154,0.004508523,1.0
10000000,0.37571204,-0.57697165,-7.221251574786086,-7.221251574786086,502.2105263157895,0.6768881,0.07059418,0.00027015104,0.28010067,0.004503512,1.0
10100000,0.46276298,-0.35608593,-6.4710483573046815,-6.4710483573046815,500.86699507389164,0.6192001,0.0710938,0.00026985005,0.27990004,0.0044985055,1.0
10200000,0.40379658,-0.29298353,-3.803324559720877,-3.803324559720877,439.21495327102804,0.4965855,0.07057673,0.00026954967,0.2796998,0.004493509,1.0
10300000,0.41248718,-0.0057780193,-4.786670386110811,-4.786670386110811,475.8812785388128,0.5852561,0.071871154,0.00026925246,0.27950162,0.004488565,1.0
10400000,0.4211104,0.048482742,-3.4318409788758815,-3.4318409788758815,433.66806722689074,0.5887093,0.070352785,0.00026894806,0.2792987,0.004483502,1.0
10500000,0.3393951,0.21085359,-2.247093276240519,-2.247093276240519,411.36099585062243,0.42802715,0.07040358,0.00026865068,0.27910045,0.0044785556,1.0
10600000,0.43222827,-0.04846643,-3.6715722597832054,-3.6715722597832054,440.96380090497735,0.49098894,0.068781056,0.00026834977,0.27889985,0.0044735507,1.0
10700000,0.4366471,0.15448302,-1.9322105422922613,-1.9322105422922613,401.56378600823047,0.41490185,0.06912728,0.00026804823,0.27869883,0.0044685355,1.0
10800000,0.39796638,0.21359271,-2.649624964619269,-2.649624964619269,422.5081967213115,0.4830565,0.07046474,0.00026774788,0.2784986,0.0044635395,1.0
10900000,0.4623159,0.08408555,-3.4925334345565613,-3.4925334345565613,441.02608695652174,0.5621526,0.06790663,0.00026744846,0.278299,0.0044585597,1.0
11000000,0.5785316,0.11999473,-2.880915392140102,-2.880915392140102,436.5405405405405,0.5266091,0.071122654,0.00026714982,0.27809986,0.0044535915,1.0
11100000,0.45811197,0.08392538,-3.0021157136412477,-3.0021157136412477,435.47533632286996,0.5102736,0.06906285,0.00026684688,0.27789792,0.004448553,1.0
11200000,0.4050025,0.461789,-1.5717281325020058,-1.5717281325020058,387.8430656934307,0.48905504,0.07146284,0.00026654705,0.277698,0.004443565,1.0
11300000,0.41830888,0.21386102,-2.345339603409046,-2.345339603409046,418.0378151260504,0.46548048,0.0709119,0.00026624906,0.27749938,0.004438609,1.0
11400000,0.42649662,0.46143335,-1.6290770751057249,-1.6290770751057249,417.1471861471861,0.5453921,0.06968284,0.0002659523,0.27730152,0.0044336724,1.0
11500000,0.3850993,0.11833222,-3.3488073041944793,-3.3488073041944793,439.16017316017314,0.5385501,0.0707027,0.00026565162,0.2771011,0.0044286717,1.0
11600000,0.40993145,0.43824673,-0.9295234164643672,-0.9295234164643672,398.6733870967742,0.427713,0.06957407,0.00026535342,0.2769023,0.004423712,1.0
11700000,0.38564077,0.43302318,-1.5742339931726457,-1.5742339931726457,410.384,0.36184618,0.07178957,0.00026505027,0.2767002,0.0044186693,1.0
11800000,0.54417866,0.5318987,-1.1850006133317947,-1.1850006133317947,383.2692307692308,0.5537599,0.07122301,0.00026474922,0.27649948,0.0044136615,1.0
11900000,0.47054535,0.33826333,-2.009759569463651,-2.009759569463651,408.93388429752065,0.48730686,0.07008723,0.00026444843,0.27629894,0.004408659,1.0
12000000,0.57156837,0.31558642,-2.8401097796395818,-2.8401097796395818,432.06637168141594,0.5417617,0.07236434,0.00026414983,0.27609986,0.0044036913,1.0
12100000,0.42996892,0.06563303,-4.102926270351854,-4.102926270351854,457.646511627907,0.53845185,0.071172304,0.00026385073,0.2759005,0.0043987166,1.0
12200000,0.46882227,-0.0027842212,-4.8760083614406495,-4.8760083614406495,477.87557603686633,0.552983,0.069178976,0.00026355035,0.27570024,0.00439372,1.0
12300000,0.52981555,0.7866358,0.3592726913161744,0.3592726913161744,369.7857142857143,0.4551121,0.07019509,0.00026324907,0.27549937,0.004388708,1.0
12400000,0.5063868,0.45465767,-1.3551153936326752,-1.3551153936326752,405.43153526970957,0.45939583,0.0691556,0.00026295282,0.2753019,0.0043837815,1.0
12500000,0.5320928,0.5514945,-1.1694268226379254,-1.1694268226379254,410.79918032786884,0.43397745,0.07056887,0.00026265215,0.27510142,0.00437878,1.0
12600000,0.35571876,-0.31506094,-6.935940889364634,-6.935940889364634,497.07179487179485,4.1649556,0.07849101,0.00026235252,0.27490166,0.0043737963,1.0
12700000,0.33148003,-0.3303154,-5.946233438530771,-5.946233438530771,494.81188118811883,0.6393675,0.06819803,0.000262047,0.274698,0.004368714,1.0
12800000,0.37871805,-0.041109405,-4.244520490704956,-4.244520490704956,443.1906779661017,0.55091864,0.07242684,0.00026174972,0.27449977,0.004363769,1.0
