Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3300000,0.6241319,237.6747967479675,-0.6013105,-2.694784072345617,-2.694784072345617,0.7712117,0.04863284,0.00010375535,0.13458508,0.001735796,1.0
3400000,0.5951888,236.78809523809525,-0.09694309,-1.3862497943880439,-1.3862497943880439,0.59657216,0.04566455,9.90053e-05,0.13300174,0.001656787,1.0
3500000,0.5190683,241.13118811881188,-0.7470209,-2.6800313057138188,-2.6800313057138188,0.78389686,0.047240876,9.299469e-05,0.1309982,0.0015568105,1.0
3600000,0.46789747,248.7348484848485,-0.8388484,-3.202463799579577,-3.202463799579577,0.72216654,0.04762366,8.695567e-05,0.12898518,0.0014563613,1.0
3700000,0.47450435,241.62232779097388,-0.7895341,-3.2259670690411615,-3.2259670690411615,1.0165128,0.046391115,8.100195e-05,0.12700062,0.0013573308,1.0
3800000,0.480933,232.7957244655582,-0.48462942,-2.008903239646229,-2.008903239646229,0.7050607,0.04746485,7.5006385e-05,0.12500212,0.0012576047,1.0
3900000,0.47692865,254.41935483870967,-0.7303571,-3.161731164079742,-3.161731164079742,0.65119004,0.04773355,6.898873e-05,0.12299621,0.0011575111,1.0
4000000,0.46311334,246.5275,-0.7787324,-3.1913166980445387,-3.1913166980445387,0.8229202,0.046670347,6.303683e-05,0.12101226,0.0010585112,1.0
4100000,0.43882424,216.764192139738,-0.32130086,-1.0537820192924232,-1.0537820192924232,0.81337357,0.046309017,5.7026875e-05,0.11900892,0.0009585456,1.0
4200000,0.41223457,252.60659898477158,-0.85681504,-2.792947140517574,-2.792947140517574,0.4109214,0.047829453,5.108444e-05,0.117028125,0.00085970294,1.0
4300000,0.42503014,243.33415233415232,-0.6138653,-2.611747344823083,-2.611747344823083,0.7468283,0.047040172,4.5006935e-05,0.11500229,0.00075861387,1.0
4400000,0.4093016,251.5075,-0.887308,-2.8761579082906246,-2.8761579082906246,0.6133149,0.046967182,3.89277e-05,0.11297588,0.0006574959,1.0
4500000,0.39165795,235.7398568019093,-0.56618553,-1.6940505189514388,-1.6940505189514388,0.49398792,0.047715876,3.304176e-05,0.1110139,0.00055959314,1.0
4600000,0.42195767,241.4976076555024,-0.57190096,-2.290261183985683,-2.290261183985683,0.578819,0.047561895,2.7069222e-05,0.10902303,0.00046024978,1.0
4700000,0.39593324,243.81094527363183,-0.64490944,-2.2371708086474027,-2.2371708086474027,0.5333209,0.04814893,2.096768e-05,0.10698919,0.00035876082,1.0
4800000,0.38626975,242.2434367541766,-0.583961,-1.6696439432470422,-1.6696439432470422,0.4050759,0.046044376,1.4940676e-05,0.1049802,0.0002585116,1.0
