Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000000,1.183675,28.0,7.8883057,10.943999290466309,10.943999290466309,1.0
2100000,1.3350295,249.17402597402597,1.2544578,4.70108676900595,4.70108676900595,1.0
2200000,1.2503232,239.13443396226415,1.4725689,4.989760602235724,4.989760602235724,1.0
2300000,1.2654645,259.7845744680851,1.1363671,4.328543851528554,4.328543851528554,1.0
2400000,1.3027236,253.41044776119404,1.5494965,4.663006182444926,4.663006182444926,1.0
2500000,1.2617774,231.2018348623853,1.751886,5.678180450201035,5.678180450201035,1.0
2600000,0.9392968,238.3955773955774,2.1352518,5.729474244045788,5.729474244045788,1.0
2700000,1.0741601,251.49747474747474,1.189604,5.141185590903265,5.141185590903265,1.0
2800000,1.0271207,253.1770573566085,1.6094627,5.080774286246285,5.080774286246285,1.0
2900000,1.1216211,240.12121212121212,1.439459,5.084674243081474,5.084674243081474,1.0
3000000,1.0694178,255.05665024630542,1.4357276,4.825997542378865,4.825997542378865,1.0
3100000,1.1319504,250.8589420654912,1.5134512,4.882176298788873,4.882176298788873,1.0
3200000,1.120267,245.15136476426798,1.4819523,5.085253103134724,5.085253103134724,1.0
3300000,0.9307183,235.3175355450237,1.8675042,5.693312810592671,5.693312810592671,1.0
3400000,1.0982302,241.66746411483254,1.5405375,5.330160287667832,5.330160287667832,1.0
3500000,1.1939045,243.98994974874373,0.7098153,4.865858013493631,4.865858013493631,1.0
3600000,1.1672997,240.0143198090692,1.3244281,4.933213606583474,4.933213606583474,1.0
3700000,1.1261696,251.7275,1.3793766,4.734747449494899,4.734747449494899,1.0
3800000,1.0789267,230.78859857482186,1.6589253,5.458754125663971,5.458754125663971,1.0
3900000,1.0660143,221.15434782608696,1.8902388,5.787732590783549,5.787732590783549,1.0
4000000,1.1222094,220.8530701754386,2.3227313,6.7394199391271465,6.7394199391271465,1.0
4100000,0.946185,211.95238095238096,2.3924608,6.741748929072123,6.741748929072123,1.0
4200000,0.8985584,200.326,2.924664,7.713106199023958,7.713106199023958,1.0
4300000,0.8627201,223.84580498866214,2.7246294,7.159131216264553,7.159131216264553,1.0
4400000,0.77516574,204.97987927565393,3.5105455,8.090578496875898,8.090578496875898,1.0
4500000,0.7141669,163.0976821192053,4.0242243,8.884736742152036,8.884736742152036,1.0
4600000,0.6784226,167.8696397941681,4.557814,9.079353370117486,9.079353370117486,1.0
4700000,0.6569182,161.19303797468353,4.676449,9.162374810086897,9.162374810086897,1.0
4800000,0.6823502,156.8976,4.7242517,9.494432131167704,9.494432131167704,1.0
4900000,0.5651009,150.03288490284007,5.0103054,9.6072283210679,9.6072283210679,1.0
5000000,0.5518601,144.92430858806404,5.5101237,9.774416334536658,9.774416334536658,1.0
