Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
100000,1.7392021,-1.0323429,0.40620157,0.048431415,0.00029848478,0.19949494,0.004974797,679.3642857142858,-18.53976811982159,-18.53976811982159,1.0
200000,1.6861813,-2.1007066,0.217412,0.049976423,0.00029550144,0.19850047,0.0049251732,674.5957446808511,-17.96951226470001,-17.96951226470001,1.0
300000,1.6820439,-2.4758377,0.32685652,0.048766144,0.0002924848,0.19749491,0.0048749964,673.5911949685535,-17.210117482023794,-17.210117482023794,1.0
400000,1.6627749,-2.6265695,0.4633022,0.047568876,0.00028949731,0.1964991,0.004825305,654.1205673758865,-17.332549669086298,-17.332549669086298,1.0
500000,1.4698366,-2.39769,0.43219593,0.04691575,0.00028646644,0.19548881,0.0047748913,646.00625,-17.176157717965545,-17.176157717965545,1.0
600000,1.2995057,-2.485653,0.44126886,0.045743458,0.0002834786,0.19449289,0.004725194,641.3375,-15.50343445953913,-15.50343445953913,1.0
700000,1.2387996,-1.7707344,0.45731014,0.047981925,0.0002805258,0.1935086,0.004676079,619.1320754716982,-14.43395377573727,-14.43395377573727,1.0
800000,1.1988883,-2.2342057,0.46210527,0.0488227,0.0002775024,0.1925008,0.00462579,615.0987654320987,-13.542894699691255,-13.542894699691255,1.0
900000,0.95673084,-1.860621,0.4556776,0.048070066,0.00027447267,0.19149089,0.004575395,608.3067484662577,-12.519555160170135,-12.519555160170135,1.0
1000000,0.9832667,-1.4502336,0.61256295,0.046601795,0.00027151048,0.19050348,0.004526124,535.9387755102041,-9.46591825704926,-9.46591825704926,1.0
1100000,1.0622622,-1.3146698,0.8259764,0.04543093,0.00026847667,0.18949223,0.004475661,465.7004830917874,-4.958989234090461,-4.958989234090461,1.0
1200000,1.0170963,-1.1434258,0.52152944,0.046169616,0.0002654879,0.18849595,0.0044259485,535.5181347150259,-8.272542069637135,-8.272542069637135,1.0
1300000,0.9907669,-0.63344634,0.5145108,0.047867652,0.0002625026,0.18750086,0.004376293,452.61502347417843,-2.650450363438928,-2.650450363438928,1.0
1400000,1.0396392,-0.18093497,0.578608,0.04951099,0.00025951248,0.18650417,0.0043265577,420.71367521367523,-2.0978809991256986,-2.0978809991256986,1.0
1500000,0.9385407,-0.12015534,0.6302483,0.047042426,0.00025650134,0.18550043,0.0042764717,422.54583333333335,-1.6082990274764597,-1.6082990274764597,1.0
1600000,0.90107596,0.8830346,0.6413231,0.04834596,0.00025348304,0.18449435,0.004226268,377.9340659340659,1.1089689068687267,1.1089689068687267,1.0
1700000,0.75329876,1.2707633,0.6782556,0.047133707,0.00025047016,0.18349005,0.004176153,359.87867647058823,1.1015207604368162,1.1015207604368162,1.0
1800000,0.77931035,1.219603,1.0668515,0.04693105,0.00024750477,0.1825016,0.0041268286,382.13461538461536,-0.8796584126754449,-0.8796584126754449,1.0
1900000,0.7112998,0.8536052,0.5957994,0.047865078,0.00024449147,0.18149716,0.0040767076,375.90625,0.7968134193797596,0.7968134193797596,1.0
2000000,0.64648384,1.2407923,0.7598063,0.04819584,0.00024151152,0.18050383,0.004027141,360.8235294117647,1.2960611317680575,1.2960611317680575,1.0
2100000,0.6431509,0.99726737,1.1238699,0.04696943,0.00023852322,0.17950775,0.003977435,376.8716981132076,-1.354900711639361,-1.354900711639361,1.0
2200000,0.6517876,1.4102508,0.6776978,0.04782,0.00023549276,0.17849757,0.0039270283,349.1060070671378,2.131970604698003,2.131970604698003,1.0
2300000,0.66184396,1.6131842,0.636256,0.04619277,0.00023249834,0.17749941,0.0038772211,332.04651162790697,2.7810885617973597,2.7810885617973597,1.0
2400000,0.56405485,2.0624282,0.4774988,0.049456622,0.00022949399,0.17649797,0.0038272487,302.0182370820669,4.262581641550847,4.262581641550847,1.0
2500000,0.65586144,2.0779064,0.5545248,0.04860047,0.00022650596,0.17550196,0.003777548,352.9477351916376,2.6409694144846254,2.6409694144846254,1.0
2600000,0.59404415,1.9871527,0.8353684,0.046711966,0.00022348599,0.17449531,0.0037273166,299.5015384615385,3.375637581130633,3.375637581130633,1.0
2700000,0.6536346,2.4436707,0.8758463,0.046447553,0.00022052768,0.17350923,0.0036781097,285.2556179775281,3.9894853120753435,3.9894853120753435,1.0
2800000,0.6150077,2.143566,0.58581877,0.04742988,0.00021750738,0.17250246,0.003627872,300.5487804878049,3.790700125212713,3.790700125212713,1.0
2900000,0.53189766,2.4969757,0.394027,0.04776705,0.00021448992,0.17149663,0.0035776822,300.77710843373495,4.680986864918686,4.680986864918686,1.0
